"ArtistID","ArtistName","SoundCloudFollowers","SpotifyListenerFollowerRatio","SpotifyMonthlyListeners","SpotifyPopularity","YoutubeChannelViews"
"745195","Peruzzi",,"7.16250591","151487","49",
"70840","Richard Hell",,"2.437379328","151488","43",
"203650","Danju","6599","4.63204403","151491","52",
"396067","Plankton","15337","94.330635118","151495","42",
"563865","Jafú","11576","10.09697414","151495","44","4474993"
"1639878","Flowtiago",,"9.964809577","151495","47","20224031"
"127350","Joki Freund Sextet",,"224.44","151497","40",
"3728713","Mediteight Dimensional",,"3986.868421053","151501","43",
"71901","Kashif",,"1.602153039","151506","44",
"139825","Skeptical","34318","9.003803411","151507","44","65713"
"786698","Jaxxon D. Silva","5772","24.324771231","151519","48",
"883325","VARLEY",,"123.186178862","151519","44","24852"
"123525","101 Strings Orchestra",,"7.277665706","151521","48","1672579"
"4151430","LANDR",,"5050.733333333","151522","41",
"807876","Westerns",,"186.153562654","151529","42",
"211565","Magazine",,"2.525287873","151540","43","99431244"
"277454","Anna Golden","17","20.891370278","151546","44","2782106"
"3567569","潘PAN",,"13.655343305","151547","44",
"1372132","Leon Fanourakis","7490","10.451517241","151547","50",
"545404","La Nobleza De Aguililla",,"1.596176935","151557","49","5075518"
"657413","Piknik",,"1.119629455","151562","50","112743993"
"548227","The Reggister's","8","35.011550012","151565","48",
"328430","Stephanie Hsu",,"83.462004405","151567","45",
"545","Gene Autry",,"3.944798688","151571","57","31273202"
"1016238","Keren Peles",,"3.287610619","151572","48",
"3614714","Heather Tepe",,"2972.176470588","151581","43",
"572280","Rain Storm Sample Library",,"240.606349206","151582","54",
"193704","Sasa Matic",,"3.521383604","151585","50","619924950"
"799239","Yuri Shatunov",,"3.614856325","151589","47",
"146397","Włodi",,"4.581527488","151589","51",
"3613244","CJ Music",,"37.147022789","151597","49",
"416034","Johnny Deluxe","53","18.199039616","151598","45","1928211"
"175293","許嵩",,"4.477304273","151606","48",
"1373809","Delli Boe","2350","14.232726249","151607","45","6041881"
"636623","Hironobu Kageyama",,"6.129269574","151632","45","479663"
"196025","Grant Lee Buffalo","163","5.121905084","151634","44",
"3607386","Reigns",,"258.333901193","151642","46",
"206501","Charmes","35375","7.370577372","151657","44","459587"
"421956","Richard Carpenter",,"8.802785839","151672","45",
"459116","The Robert Cray Band",,"2.157718789","151679","41",
"3509746","Mellow dive",,"1391.596330275","151684","40",
"743336","Marlin's Dreaming","916","8.570201706","151684","46","210086"
"545397","Dodo & the Dodos","42","5.544281589","151686","47","7407850"
"3416207","Spies in Disguise",,"150.944278607","151699","39",
"27198","I Hate Models","78714","1.852906331","151703","46","980202"
"2012","Jake Shimabukuro",,"2.49632238","151709","47","7829865"
"65929","L'One","69745","0.5946030688","151710","49",
"462055","Bliss","164423","4.721701783","151713","45","17980992"
"375960","Driveways",,"11.452857251","151716","49","576147"
"208955","Jimmy ""Bo"" Horne",,"14.257964477","151719","42","1103343"
"92911","Arif Sağ","7","1.468324785","151722","47",
"3483629","Aziatik",,"193.278980892","151724","45",
"312661","Let's Eat Grandma","1669","2.48905804","151728","44","2191605"
"285184","Carina Dahl",,"18.435965978","151728","48","2212459"
"213930","Tourist LeMC","1380","2.065377181","151735","50","3125208"
"3441104","Sofie",,"26.205663961","151757","43",
"400871","Aaron Goodvin","11","9.265185276","151773","45","10098501"
"23645","Droid Bishop","11673","7.127929366","151775","46","64746"
"1158860","上原琢矢",,"1502.732673267","151776","41",
"684585","So Soo Bin","43","9.633115441","151789","45",
"3872674","Jan Vermolen",,"1649.891304348","151790","37",
"3906714","Skinny Flex",,"14.310738192","151794","51","7031618"
"3916131","NIRON","6","4599.848484848","151795","40","655"
"375507","Mo Anando",,"160.29250264","151797","43",
"308142","Los Bohemios de Sinaloa","34","33.465608466","151800","43","164082"
"3344631","ZAQ",,"10.512534626","151801","49",
"99083","Pantelis Pantelidis",,"1.439608899","151801","54","603196762"
"10247","Mano Le Tough","141770","2.509455796","151802","42",
"213562","BIP","2480","5.078245743","151804","45",
"479598","Clea Vincent","2432","6.860622769","151805","44","4295290"
"208230","Pedrina y Rio","1833","2.72333441","151815","43",
"203853","Carbon Based Lifeforms","9221","1.371783288","151818","53","3130665"
"1135189","DJ Nesty",,"129.988013699","151826","31",
"3365372","Be No Rain",,"153.830800405","151831","45",
"801843","LIL PHAG","15170","2.397224371","151833","46",
"217769","Corine","1788","9.072538241","151838","44","4729658"
"55765","CASISDEAD","20023","3.434494458","151839","47","16618648"
"212984","Andre Hehanussa","26","13.9378557","151839","43",
"1123359","Swardy","2378","20.392291163","151841","43",
"341078","Mikhail Krug",,"0.5625998066","151844","51","83615979"
"923437","Billy Uomo","963","30.730068798","151868","41",
"1468172","YumeBeats",,"973.525641026","151870","40",
"3688486","Surrounding Life",,"955.226415094","151881","43",
